"Book Id","ISBN","Bookshelf","Tags","Wishlist","Started Reading On","Ended Reading On","Pages Read","Read","My Rating","Short note","Advanced note","Quotes","Title","Subtitle","Language","Categories","Authors","Illustrators","Translators","Editors","Narrators","Photographers","Publisher","Page Count","Published At","Format","Series","Volume","Loan Type","Loan Name","Loan Start Date","Loan Due Date","Purchase From","Purchase Price","Purchase Date","Description","Date added"
"200984","9783453875579","2021 und davor","Fantasy,Horror",0,,,573,1,,,,"","Drei (Der dunkle Turm, #2)","Drei / aus dem Amerikan. von Joachim Körber","de","Thrillers","Stephen King","","Joachim Körber","","","","Heyne Taschenbuch",573,"2003-12-01","paperback","Der dunkle Turm",2,,,,,,,,"Nach der Konfrontation mit dem Mann in Schwarz erreicht Roland im zweiten Band der Saga den Strand des Meeres, dem seltsame Monsterhummer entsteigen, die ihm schwere Wunden zufügen. Irritiert beobachtet er, wie sich drei Türen in unsere reale Welt öffnen und seine Blicke auf die Drei lenken, die auserwählt sind, ihm bei der Suche nach dem Dunklen Turm zu helfen, wie es das Orakel prophezeit hat.","2022-11-28"
"306412","9783453875586","2021 und davor","Fantasy,Horror",0,,,784,1,,,,"","tot. (Der dunkle Turm, #3)","Tot / aus dem Amerikan. von Joachim Körber","de","","Stephen King","","Joachim Körber","","","","Heyne Taschenbuch",784,"2003-12-01","paperback","Der dunkle Turm",3,,,,,,,,"Die sterbende Welt, die Roland auf der Suche nach dem ""Dunklen Turm"" durchquert, nimmt immer groteskere Formen und seltsamere Gestalten an. Aggressive Roboter und mechanische Tiere stellen sich dem letzten Revolvermann und den auserwählten Drei in den Weg. Am Rande des Wahnsinns träumt Roland von dem Schlüssel, der aus dem Nichts des wüsten Landes auftaucht, um ihm die Geheimnisse des Dunklen Turms zu offenbaren.","2022-11-28"
"338889","9783453875593","2021 und davor","Fantasy,Horror",0,,,957,1,,,,"","Glas (Der dunkle Turm, #4)","Roman","de","German fiction","Stephen King","","Joachim Körber","","","","Heyne",957,"2003-12-01","paperback","Der dunkle Turm",4,,,,,,,,"Alternate cover edition can be found here. 


Nachdem Rolands Gemeinschaft dem finsteren Blaine entkommen ist, müssen sie feststellen, dass sie in einem Kansas gelandet sind, das sich scheinbar nicht mehr in Mittwelt befindet. Aber auch in Jakes, Eddies und Susannahs Welt scheint es nicht zu liegen. Mitten auf einem verlassenen Highway erfahren Rolands Gefährten schließlich etwas über dessen Vergangenheit. Er erzählt ihnen von seinen Jugendfreunden Alain und Cuthbert, seiner ersten großen Liebe und vom unheilvollen und zerstörerischen Lauf des Schicksals, in dessen Geschichte eine unheilvolle rosa Kugel aus Glas steht...","2022-11-28"
"509615","9783453530232","2021 und davor","Fantasy,Horror",0,,,990,1,,,,"","Wolfsmond (Der dunkle Turm, #5)","Der Dunkle Turm 5. Wolfsmond.","de","","Stephen King","","Wulf H. Bergner","","","","Heyne",990,"2004-12-01","paperback","Der dunkle Turm",5,,,,,,,,"Der Revolvermann Roland von Gilead sucht mit seinen Gefährten Eddie, Susannah und Jake noch immer den magischen Dunklen Turm. Dabei gelangen sie in den kleinen Ort Calla Bryn Sturgis, wo den Farmern auffallend häufig Zwillinge geboren werden. Doch Calla Bryn Sturgis wird immer wieder von Wolfsreitern überfallen, die den Familien einen ihrer Zwillinge stehlen. Wenn das Kind später zurückkehrt, ist es geistig behindert. Als Roland und seine Freunde erfahren, dass es bald wieder einen Überfall der Wölfe geben wird, erklären sie sich bereit, den hilflosen Farmern beizustehen...","2022-11-28"
"512994","9783453431034","2021 und davor","Fantasy,Horror",0,,,496,1,,,,"","Susannah (Der dunkle Turm, #6)","Susannah / aus dem Amerikan. von Wulf Bergner","de","","Stephen King","","Wulf H. Bergner","","","","Heyne",496,"2005-09-02","paperback","Der dunkle Turm",6,,,,,,,,"Mit Band VI des Zyklus um den Dunklen Turm nähert sich Stephen King dem großen Finale. Als ein Balken des Turms einstürzt und in Mittwelt ein Erdbeben auslöst, müssen Roland und Eddie erkennen, dass ihnen die Zeit wegläuft. In ihrer Verzweiflung beschließen sie, ihren Schöpfer aufzusuchen, während Susannah in New York Rolands Sohn zur Welt bringt. Der Kreis beginnt sich zu schließen.","2022-11-28"
"686812","9783453431614","2021 und davor","Fantasy,Horror",0,,,1024,1,,,,"","Der Turm (Der dunkle Turm, #7)",,"de","","Stephen King","","Wulf H. Bergner","","","","Heyne",1024,"2006-03-06","paperback","Der dunkle Turm",7,,,,,,,,"Kings wichtigstes Werk findet seinen krönenden Abschluss

Der neue große Roman von Stephen King ist gleichzeitig das grandiose Finale seines Zyklus um den Dunklen Turm. Sein Held Roland, der Revolvermann, und seine Gefährten sind am Ende eines langen Weges angekommen.

Über dreißig Jahre hat Stephen King an seinem Opus magnum im Geiste und auf Papier gefeilt und geschrieben. Nun steht sein Held, der Revolvermann Roland, vor dem „Dunklen Turm“, wo seine Suche endet. Mit „Der Turm“ liefert Stephen King das große Finale eines Romanzyklus, der schon jetzt als moderner Klassiker gilt und in einem Atemzug mit „Der Herr der Ringe“ genannt werden muss.","2022-11-28"
"160012","9783453410831","2021 und davor","Fantasy,Horror",0,,,432,1,,,,"","Wind (Der dunkle Turm, #8)","Wind / aus dem Amerikan. von Wulf Bergner","de","","Stephen King","","","","","","Heyne Verlag",432,"2013-11-11","paperback","Der dunkle Turm",8,,,,,,,,"Stephen King schreibt sein epochales Epos um den Dunklen Turm mit einem achten Band fort.

""Wind"" ist erzählchronologisch zwischen den Dunkler-Turm-Bänden ""Glas"" und ""Wolfsmond"" anzusiedeln. Stephen King kehrt nach Mittwelt zurück, in jene phantastische, farbenprächtige und zugleich unheimliche Region, wo der Dunkle Turm im Zentrum aller Dinge steht. Roland Deschain, der letzte Revolvermann, hat zusammen mit seinen Gefährten den Grünen Palast hinter sich gelassen. Unterwegs ins Land Donnerschlag werden sie von einem heftigen Unwetter überrascht und müssen unterkriechen. Zeit und Gelegenheiten für Roland, aus seiner stürmischen Jugend zu erzählen, vom unerschrockenen Tim, dem bösen Zauberer und einem unheimlichen Gestaltwandler...","2022-11-28"
"255982","9783453435797","2021 und davor","5 Books per month,Horror",0,,,606,1,,,,"","Friedhof der Kuscheltiere","Roman","de","","Stephen King","","Christel Wiemken","","","","Heyne",606,"2011-01-01","paperback",,,,,,,,,,"Als neuer Universitätsarzt zieht der junge Louis Creeds mit seiner Frau und seinen Kindern nach Ludlow, Maine. Ein wunderbares Haus in herrlicher Landschaft erwartet die Familie. Einziger Haken: Das Haus liegt direkt an einer vielbefahrenen Straße, und schon bald wird die Katze der Creeds überfahren. Die Beerdigung des geliebten Tierchens auf einem alten, geheimnisvollen Indianerfriedhof bleibt nicht ohne Folgen: Das Tier kehrt lebendig zurück, ein bisschen aggressiv, ein bisschen böse. Dann wird auch noch Louis' Sohn Opfer der Landstraße und der Horror kann beginnen.","2022-11-28"
"1297148","9783453435858","2021 und davor","Horror",0,,,1072,1,,,,"","Das Monstrum: Tommyknockers","Roman","de","","Stephen King","","Joachim Körber","","","","Heyne Verlag",1072,"2011-02-08","paperback",,,,,,,,,,"Als Roberta Anderson, genannt Bobbi, beim Spaziergang im Wald über ein kleines Stück Metall stolpert, ahnt sie noch nicht, worauf sie gestoßen ist. Doch sie spürt, daß von dem Metall eine seltsame Kraft ausgeht. Und ihr altersschwacher Beagle Peter mag es eindeutig nicht. Bobbi beschließt, es zu vergessen. Aber die Erinnerung an das unheimliche Vibrieren, das sie beim Berühren des Metalls spürte, läßt sie nicht los. Bei dem Versuch, den Gegenstand auszugrabn, stellt sie fest, daß er riesig sein muß. Und was immer es ist: Es verändert nicht nur ihren Hund.","2022-11-28"
"253237","9783404130085","2021 und davor","5 Books per month,Horror",0,,,624,1,,,,"","Shining (The Shining, #1)","Als Buch und Film ein Welterfolg","de","Fiction","Stephen King","","","","","","Bastei Lübbe",624,"1985-04-28","paperback","The Shining",1,,,,,,,,"Jack Torrance, ein verkrachter Intellektueller mit Psychoproblemen, bekommt den Job als Hausmeister in einem Hotel in den Bergen Colorados. Das Hotel ""Overlook"" ist ein verrufener Ort. Wer sich ihm ausliefert, verfällt ihm, wird zum ausführenden Organ aller bösen Träume und Wünsche, die sich in ihm manifestieren. Mittlerweile ist der tiefe Winter über Colorado und über das Overlook gekommen, wo keine Gäste mehr im Hotel sind. Nur noch Jack, Danny und Wendy sind in dem riesigen Komplex. Oder etwa doch nicht? Wohnt doch noch jemand im Hotel, z.B. im Zimmer 217? Die Schemen der Vergangenheit, die grauenhaften Ereignisse aus der langen Geschichte des Hotels - vom Selbstmord über Mord, bis hin zu blutigen Schusswechseln- nehmen langsam Gestalt an. Und was geschah mit dem vorigen Hausmeister und seinen beiden Töchtern? Welches Geheimnis birgt Zimmer 217? Das irgendend etwas ganz und gar nicht stimmt, bekommt als erstes der fünfjährige Danny zu spüren, der das zweite Gesicht, das ""Shining"" hat, und erleben muss, wie das Böse sich allmählich im Geist seines Vaters festkrallt.","2022-11-28"
